Language,Matrix Size,Block Size,Time,L1 DCM,L2 DCM,TOT INS,TOT CYC
C++,10240,128,517.431,151648968046,490887944765,7618556059807,2258944091208
C++,10240,128,519.487,150932061645,500284615126,7618556060415,2282661075763
C++,10240,128,517.485,151010399417,486503428096,7618556059910,2273858737985
C++,10240,128,520.402,150939787705,493800536443,7618556060573,2282702049332
C++,10240,128,520.306,150924272803,493473457381,7618556060551,2281092593118
C++,10240,128,515.098,152160903067,513568920468,7618556059279,2264492642709
C++,10240,256,450.823,141915379877,349936675667,7567578197533,1966152891291
C++,10240,256,453.769,141532694180,352297149658,7567578198596,1978952984697
C++,10240,256,455.466,141539210396,348463953099,7567578198642,1976323193954
C++,10240,256,448.131,141608036401,345563453918,7567578196884,1969488355638
C++,10240,256,452.689,141539151481,356572137603,7567578227429,1982840916346
C++,10240,256,451.925,141541267329,353400933251,7567578241899,1975825615712
C++,10240,256,453.628,141538883387,360128330223,7567578199249,1985605499725
C++,10240,256,452.417,141546731142,353288009536,7567578252996,1979184970391
C++,10240,256,454.085,141550048253,349350718821,7567578198366,1975105792470
C++,10240,256,453.966,141547711594,360148459293,7567578199236,1983862351241
C++,10240,512,436.789,136813808804,297154690133,7542251716480,1918466498720
C++,10240,512,450.418,136965806463,300988413454,7542251719847,1970917559554
C++,10240,512,455.198,136945848972,297867056871,7542251720983,1985612235796
C++,10240,512,454.246,136971087935,309937085639,7542251720867,1996089118786
C++,10240,512,441.336,136848181815,300006743716,7542251768795,1936022939132
C++,10240,512,456.874,136958830828,302597424437,7542251721941,1992949099077
C++,10240,512,461.498,136990622034,309728098521,7542251722697,2028315693535
C++,10240,512,446.586,136975234410,298062181736,7542251718937,1961458139089
C++,10240,512,457.025,136957142267,308390964998,7542251722501,2003622468594
C++,10240,512,454.402,136942360837,298474034615,7542251720817,1976028262728
