Language,Matrix Size,Min Time,Max Time,Avg Time,Avg Time Standard Deviation,Min GigaFlops,Max GigaFlops,Avg GigaFlops,Avg GigaFlops Standard Deviation,Min L1 DCM,Max L1 DCM,Avg L1 DCM,Avg L1 DCM Standard Deviation,Min L2 DCM,Max L2 DCM,Avg L2 DCM,Avg L2 DCM Standard Deviation,Min TOT INS,Max TOT INS,Avg TOT INS,Avg TOT INS Standard Deviation,Min TOT CYC,Max TOT CYC,Avg TOT CYC,Avg TOT CYC Standard Deviation
C++,4096,43.6162,46.8407,44.17577,0.9552534533363964,2.9341780432828717,3.151098753949221,3.112430895094012,0.06406978506654196,17665733491,17677790773,17673501307.5,4742344.173210549,16935843996,17575440605,17215587827.1,216018748.87810555,550108360792,550108364366,550108361797.7,1535.2249826028694,185070047090,195172959532,186880005211.6,2989119407.5217505
C++,6144,147.386,149.868,148.2215,0.8990412485902272,3.095100141244295,3.1472220425820634,3.1295848877246515,0.01890730724483579,59576419934,59644223913,59621656294.7,18299727.096319485,57440070696,59639257876,58704106458.7,744734989.6549181,1856219020956,1856219038657,1856219026138.1,6749.119396628173,625420156150,632193788399,628115040159.4,2589215818.643924
C++,8192,349.567,354.255,351.9112,1.267070005958621,3.1037293129976997,3.1453530446981555,3.1244372187568077,0.011244980956241511,141082509466,141251913689,141169305677.9,52180819.46389606,140514557873,145759997802,142382339869.0,1975806402.6717737,4399456497154,4399456523495,4399456503597.9,9565.15817468896,1483084385592,1504444529892,1492929702581.9,5575311409.409411
C++,10240,688.96,701.536,692.9678,3.844173854317995,3.061116817953748,3.116993218764515,3.0990513082621582,0.01708794676736934,275419164613,275589042793,275525886858.7,58757216.73302381,291789031973,303992335225,297776156482.7,3747137855.9723926,8592137659231,8592137712675,8592137672040.7,17739.726116625094,2923897747915,2962289696046,2937515021428.0,12055743454.432196
